baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MYH16	36.3443261866825	-1.14149743025915	0.26072048108681	-4.37824226735403	1.19640314665809e-05	0.00114442469906883
WNT16	33.6441823830524	-1.10121602626208	0.299274852532583	-3.67961429750331	0.000233586979033348	0.00949860355379768
ARX	177.378014280675	-1.48615009057767	0.331166350597292	-4.48762408347724	7.20218655177826e-06	0.00080412985738391
HOXA11	20.4623635463415	-2.58016393277814	0.472055392584963	-5.465807558408	4.6080405387362e-08	1.41785567343131e-05
TAC1	11.3479968310177	-2.08149958518264	0.639944722719229	-3.25262403342903	0.00114344679438253	0.0259972204365678
USH1C	134.325073396445	-2.3300814304984	0.362704330244494	-6.4241897220464	1.32573774244507e-10	8.90003902987264e-08
CEACAM7	133.449963163444	-1.66325430992088	0.322928630978509	-5.15053219307633	2.59748339797211e-07	5.89038635246014e-05
PAX6	4.24720255325076	-1.83944447723162	0.425920657676502	-4.3187491474732	1.56916012253121e-05	0.00141657944264596
PAX7	387.10664784364	-1.83962535602851	0.606925998183207	-3.03105380480538	0.00243701816630357	0.0410909663639123
PRSS3	72.8195622388695	-1.29897658203889	0.357946120449737	-3.62897237273255	0.000284551688077392	0.0108777845538299
NR1H4	20.4691847432881	-1.45281704300323	0.430197169402535	-3.37709577452806	0.000732555380935519	0.0199323082758159
ISL1	29.9081215821073	-1.72562114301421	0.462663369848662	-3.72975527234556	0.000191665839309562	0.00835057874660267
SLC7A9	38.7304864605433	-1.60163235831222	0.298110626088557	-5.37261076308108	7.76047293799998e-08	2.15443565631409e-05
CPS1	8906.03294148684	-3.14414128221429	0.452515247205837	-6.94814440315225	3.70122056126676e-12	5.3504051526539e-09
ABCC2	770.63571804199	-3.86728692580961	0.365181682252475	-10.590035354336	3.31466640010423e-26	1.22387427491048e-21
KCNG1	22.0149875721124	-1.16404663822029	0.282126230820363	-4.1259780589543	3.69162464870587e-05	0.0026779146739522
SOX30	38.5425130200883	-1.29612963665818	0.25497871414399	-5.08328564213498	3.70961182668288e-07	7.69494367846135e-05
GUCA2B	4.60092743365915	-1.73269133373973	0.581391070043978	-2.98025102726237	0.00288012257278413	0.0454068171455629
PTPRN	93.0212451387698	-1.12916176139442	0.323938556852436	-3.4857281960072	0.000490799413775216	0.015555181763796
PHF21B	9.41158822010685	-1.40075036308853	0.313334033340798	-4.47046989487096	7.804792996726e-06	0.000856888512978586
F7	45.2451161330076	-2.04151217892641	0.335648722406288	-6.08228794762178	1.18479539109733e-09	6.07586114242871e-07
CREB3L3	5.21065652763347	-1.33973090676367	0.315067507834678	-4.25220269767282	2.11678131770923e-05	0.00176428705629296
RIMBP2	102.268502626681	-2.17811408701203	0.357926765889065	-6.08536241094389	1.16228100204096e-09	6.04435231526177e-07
DMRT3	20.2832632633089	-1.15068569767554	0.380621971483637	-3.02317202864103	0.00250140003370458	0.0417386951534509
COL17A1	2535.50668676481	-1.05043320742642	0.322797396983579	-3.25415637561619	0.00113729657127532	0.0258904689952393
CHAT	25.5010996377875	-2.1922275502901	0.544425418812043	-4.02668111102091	5.65696699087456e-05	0.00354020664752646
EPHA8	5.80116632884456	-1.31181395367334	0.376856872090011	-3.48093414456833	0.000499668328478317	0.0157551269789965
SLC6A15	37.2319213798	-1.37311181464614	0.46560756957477	-2.94907536812637	0.00318726237477489	0.0480828919712842
CYP2W1	12.4274022821981	-1.37292869357515	0.32012269835965	-4.28875771886908	1.79675234442035e-05	0.00156835666224664
PPP2R2C	513.746159973279	-1.6999802354343	0.363671711836107	-4.67449125160556	2.94683196288384e-06	0.000389985220665089
CDHR2	75.5724951075603	-1.73764835773121	0.288258908006798	-6.02808207991349	1.6591678774677e-09	8.16819407196532e-07
KCNQ2	32.1225352025556	-2.3403559769759	0.430929261242516	-5.43095163746333	5.60543253844296e-08	1.64261417156293e-05
ATP12A	124.308856806773	-1.1955426301203	0.341043314469934	-3.50554483666823	0.000455673744235032	0.0148236490382291
FGF20	9.95779905968027	-1.01724468168495	0.313098935899148	-3.24895604887209	0.00115829373296865	0.026159017160064
CDH17	524.518986864357	-3.09440101884838	0.372934060277021	-8.2974481240727	1.06371523408994e-16	3.27296313235857e-13
CDH7	16.4162999793243	-1.53671169621954	0.408021680054466	-3.76625010713745	0.000165717788412091	0.00765806996438004
